"","po2","mo2"
"1",16.2892973187688,2.78444018875501
"2",15.4833444086889,2.28197207533213
"3",13.5272494536494,2.81281493043081
"4",13.4097036019886,2.32646967943448
"5",13.0537553616568,2.69989954289774
"6",11.6385178364755,2.35344699698552
"7",11.5831383093438,2.36974934716969
"8",10.8922035271514,2.40062732856982
"9",10.3559252888321,2.41557247438553
"10",10.2452052463829,2.27281412136832
"11",9.50376001392033,1.82890755437707
"12",9.50229506001568,1.93563529157351
"13",8.73696998951588,1.90396335273322
"14",8.73158213360099,1.8951483042683
"15",8.41392877400651,1.99222339733006
"17",7.78027688746515,2.61886444092196
"18",7.50773559074915,2.83590849820145
"19",7.03472002496384,3.19180894002637
"20",6.83372763917539,2.25609189475621
"21",6.66361493000348,1.82510814731309
"22",6.2985706042284,2.09536172105837
"23",5.87358784148863,2.71212095540033
"24",5.63793169428566,4.18344140466828
"25",5.43641326367786,2.60017590015983
"26",5.1381354600024,2.64609466063427
"27",5.1470577261376,2.57128265324257
"28",4.99239032596419,2.61926435172403
"29",4.83164789170792,2.33501431588496
"30",4.42052761078657,2.5237605080285
"31",4.00476712802766,1.95126354118891
"32",3.84768869528181,0.911858713849018
"33",3.84199321695701,1.45187217378136
"34",3.6532562083782,1.61718467723021
"35",3.40575781003575,1.94655706739571
"36",3.38456048980837,1.98772505339738
"37",3.35007588138433,2.11447544664296
"38",3.30402042265015,2.01878321645566
"39",2.96952240311449,2.61674374956412
"40",2.7417996595407,2.07895762970403
"41",2.56901216783538,1.92326275211054
"42",2.24628841618181,1.81701941520777
"43",2.13352343769707,1.68042084851923
"45",2.03780131676852,1.68173687892152
"46",1.92356466452823,1.25428503579698
"47",1.96106484275673,1.70987366247964
"48",1.85770879449745,1.21199349221992
"49",1.76043690782768,1.62828362427914
"50",1.68362047218287,1.53670315149219
"51",1.47854033386601,1.5563272052643
"52",1.39061769590657,1.5104100544366
"53",1.32943962759721,1.26146276650878
"54",1.26422598596925,1.20650974352332
"55",1.18033892132841,0.662475461027237
"56",1.19903901059861,1.18161239301398
"57",1.00746032529065,1.19871789627696
"58",0.938237776601401,1.1477037863941
"59",1.01426813461995,0.841870698879114
"60",0.834987285826784,0.88048739655593
"70",0.715081158951714,0.245404987740278
"71",0.702403321575924,0.311871703842196
"72",0.602156181337804,0.59468625167519
"73",0.572702709326293,0.830729866331365
"74",0.535324754512391,0.698520515430022
"75",0.55184070540964,0.490919552471572
"76",0.509819078497382,0.549617328109807
"77",0.44693544766847,0.244404638149286
"78",0.476946700906874,0.360729232876478
"79",0.50193904116224,0.357361550461801
"80",0.451822971058819,0.27926026630751
"81",0.418568647301357,0.130576042580154
"82",0.44026134261637,0.256780181776564
"83",0.411201945725859,0.131695978221218
"84",0.401721900986675,0.145729956407448
"85",0.393826863620256,0.152155371480097
"86",0.376451781514653,0.167363955370592
"87",0.366890626035362,0.168117589712255
"88",0.347001642987908,0.169108369069027
"89",0.337684933571706,0.176861712837576
"90",0.337568265031625,0.17095885830442
"91",0.318126506790111,0.170380472597805
"92",0.308245904027888,0.167073273711439
"93",0.309488132394387,0.161214220895015
"94",0.298568080008516,0.156421173309787
"95",0.272226288791437,0.215533526086155
"96",0.266617928482556,0.140846866809952
"97",0.250881187580231,0.200677417669086
"98",0.249490069255676,0.269859699701552
"99",0.240115951191725,0.204990238233679
"100",0.226326070792762,0.343130796011456
"101",0.186034213102969,0.477305048658471
"102",0.206050974773644,0.221503256083001
"109",0.147322918812186,0.074640637014626
"110",0.138871490187219,0.086078793971713
"111",0.13581397577163,0.0968771149094072
"112",0.132467292876985,0.114886288260965
"113",0.129995059337823,0.0989392890718777
"114",0.119333897827169,0.111760696160463
"115",0.112667199863459,0.105956445189783
"116",0.113505298745921,0.100998341859092
"117",0.113293128430424,0.0980733898986719
"119",0.108203845121356,0.0957746112183446
"121",0.0798892666156278,0.0922193518079256
"122",0.0805937144710814,0.0859651971443109
"123",0.0755170237966552,0.0834357042258525
"124",0.0755170237966552,0.0834357042258525
"125",0.0755170237966552,0.0834357042258525
