Date;Time;User;SensorID;SensorName;delta t;Unit;Value;Unit;Mode;Phase;Unit;Amplitude;Unit;Temp;Unit;patm;Unit;Salinity;Unit;Error;Cal0;Unit;T0;Unit;O2-2nd;Unit;Cal2nd;Unit;T2nd;Unit;CalPressure;Unit;f1;dPhi1;dkSv1;dPhi2;dkSv2;m;Cal Mode;SignalLEDCurrent;ReferenceLEDCurrent;ReferenceAmplitude;DeviceSerial;FwVersion;SensorType;BatchID;Calibration Date;Sensor lot;PreSens calibrated Sensor;Battery Voltage;Unit
02-Dec-2013;15:27:02;DABR          ;537189293 ;DP_19NOV;1.08;min;58.083;%a.s.;humid;33.920;deg;84484;uV;20.000;°C;989.370;mbar;0.0;pmil;0;60.360;deg;20.000;°C;100.000;%a.s.;28.100;deg;20.000;°C;960;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;12;50.000;38109;SAAB0004000007;     p1.2.0.6 ;PSt3;131119-2;131202;100;1;4.963;V;
02-Dec-2013;15:27:07;DABR          ;537189293 ;DP_19NOV;1.17;min;55.751;%a.s.;humid;34.403;deg;86007;uV;20.000;°C;989.360;mbar;0.0;pmil;0;60.360;deg;20.000;°C;100.000;%a.s.;28.100;deg;20.000;°C;960;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;12;50.000;38093;SAAB0004000007;     p1.2.0.6 ;PSt3;131119-2;131202;100;1;4.963;V;
02-Dec-2013;15:27:12;DABR          ;537189293 ;DP_19NOV;1.25;min;53.457;%a.s.;humid;34.900;deg;87538;uV;20.000;°C;989.350;mbar;0.0;pmil;0;60.360;deg;20.000;°C;100.000;%a.s.;28.100;deg;20.000;°C;960;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;12;50.000;38094;SAAB0004000007;     p1.2.0.6 ;PSt3;131119-2;131202;100;1;4.963;V;
02-Dec-2013;15:27:17;DABR          ;537189293 ;DP_19NOV;1.33;min;51.316;%a.s.;humid;35.384;deg;89050;uV;20.000;°C;989.400;mbar;0.0;pmil;0;60.360;deg;20.000;°C;100.000;%a.s.;28.100;deg;20.000;°C;960;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;12;50.000;38085;SAAB0004000007;     p1.2.0.6 ;PSt3;131119-2;131202;100;1;4.963;V;
02-Dec-2013;15:27:22;DABR          ;537189293 ;DP_19NOV;1.42;min;49.212;%a.s.;humid;35.881;deg;90550;uV;20.000;°C;989.420;mbar;0.0;pmil;0;60.360;deg;20.000;°C;100.000;%a.s.;28.100;deg;20.000;°C;960;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;12;50.000;38085;SAAB0004000007;     p1.2.0.6 ;PSt3;131119-2;131202;100;1;4.962;V;
02-Dec-2013;15:27:27;DABR          ;537189293 ;DP_19NOV;1.50;min;47.282;%a.s.;humid;36.357;deg;92028;uV;20.000;°C;989.380;mbar;0.0;pmil;0;60.360;deg;20.000;°C;100.000;%a.s.;28.100;deg;20.000;°C;960;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;12;50.000;38078;SAAB0004000007;     p1.2.0.6 ;PSt3;131119-2;131202;100;1;4.961;V;
02-Dec-2013;15:27:32;DABR          ;537189293 ;DP_19NOV;1.58;min;45.404;%a.s.;humid;36.839;deg;93472;uV;20.000;°C;989.380;mbar;0.0;pmil;0;60.360;deg;20.000;°C;100.000;%a.s.;28.100;deg;20.000;°C;960;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;12;50.000;38072;SAAB0004000007;     p1.2.0.6 ;PSt3;131119-2;131202;100;1;4.962;V;
02-Dec-2013;15:27:37;DABR          ;537189293 ;DP_19NOV;1.67;min;43.643;%a.s.;humid;37.309;deg;94891;uV;20.000;°C;989.400;mbar;0.0;pmil;0;60.360;deg;20.000;°C;100.000;%a.s.;28.100;deg;20.000;°C;960;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;12;50.000;38070;SAAB0004000007;     p1.2.0.6 ;PSt3;131119-2;131202;100;1;4.961;V;
02-Dec-2013;15:27:42;DABR          ;537189293 ;DP_19NOV;1.75;min;41.939;%a.s.;humid;37.782;deg;96292;uV;20.000;°C;989.390;mbar;0.0;pmil;0;60.360;deg;20.000;°C;100.000;%a.s.;28.100;deg;20.000;°C;960;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;12;50.000;38067;SAAB0004000007;     p1.2.0.6 ;PSt3;131119-2;131202;100;1;4.962;V;
02-Dec-2013;15:27:47;DABR          ;537189293 ;DP_19NOV;1.83;min;40.336;%a.s.;humid;38.244;deg;97644;uV;20.000;°C;989.380;mbar;0.0;pmil;0;60.360;deg;20.000;°C;100.000;%a.s.;28.100;deg;20.000;°C;960;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;12;50.000;38063;SAAB0004000007;     p1.2.0.6 ;PSt3;131119-2;131202;100;1;4.957;V;
