Measurement Name : Copepods_01_20170124       Generated On : 11/01/2018, 21:50:59
Start Date/Time: 25/01/2017, 06:11:59
End Date/Time: 29/01/2017, 04:41:49
User Comment : 0
Meas. Created By :admin
SDR Serial No. : S-547
Report : @m01:IDENTIFICATION

Serial number     : SEBX0007000547      

MUX channel       : ON - 01


PARAMETERS

Sig LED current   : 040

Ref LED current   : 090

Frequency         : 060

Sending interval  : 0000

Pulse lenght      : 06

Red REF comp.     : ON

Temperature comp. : ON


FIRMWARE

ver.4.039.A3.ST   : 04/30/07, 09:14:36

@m01:RDY
Parameter : Oxygen [[%] Air Saturation]
Calibration details for Oxygen
Batch No.:  PSt5-1611-01_10°C
O2_cal0 [°] : 56.13
O2_cal2nd [°] : 50.14
O2_T0 [°C] : 10.1
O2_T2nd [°C] : 10.1
O2_patm [mbar] : 980
O2_2nd [% a.s.] : 100
 
 
Date/Time;             Time/Min.;             A1;             A2;             A3;             A4;             A5;             A6;             B1;             B2;             B3;             B4;             B5;             B6;             C1;             C2;             C3;             C4;             C5;             C6;             D1;             D2;             D3;             D4;             D5;             D6;;             Tm [°C];   p [mbar];   Salinity [g/1000g];    T_internal [°C];    Error;
25.01.1706:23:10;       11.18;          120.55;         118.3;          112.61;         115.24;         114.23;         109.79;         118.71;         113.62;         117.89;         112.61;         109.99;         111;            126.34;         119.73;         114.43;         116.26;         112.01;         119.73;         120.96;         114.03;         115.04;         112.61;         116.46;         69.36;          ;               5;              980;            34;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  12.49;
25.01.1706:24:11;       12.2;           119.53;         117.28;         112.01;         114.43;         113.42;         109.19;         118.1;          112.41;         116.67;         112.01;         109.19;         109.99;         125.3;          118.3;          113.62;         115.45;         111.2;          119.32;         120.35;         112.81;         114.23;         111.8;          116.26;         67.7;           ;               5;              980;            34;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  12.24;
25.01.1706:25:12;       13.22;          119.12;         116.67;         111.4;          113.83;         112.81;         108.59;         116.87;         111.6;          116.06;         111.4;          108.99;         109.59;         124.68;         117.08;         113.22;         115.04;         110.8;          119.32;         119.73;         111.6;          113.42;         111.2;          115.85;         66.96;          ;               5;              980;            34;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  12.01;
25.01.1706:26:13;       14.23;          118.91;         117.08;         111.4;          113.83;         113.02;         108.59;         117.08;         111.6;          115.85;         111.2;          108.99;         109.59;         124.88;         117.08;         112.81;         114.84;         110.8;          119.53;         120.14;         111.8;          113.42;         111;            115.65;         66.41;          ;               5;              980;            34;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  11.79;
25.01.1706:27:14;       15.25;          118.3;          115.85;         110.4;          113.42;         112.41;         108.19;         116.26;         111;            114.84;         110.8;          108.39;         108.99;         124.47;         116.67;         112.61;         114.64;         109.99;         118.91;         119.73;         110.8;          112.81;         110.6;          115.24;         67.33;          ;               5;              980;            34;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  11.65;
25.01.1706:28:14;       16.25;          118.3;          116.06;         110.6;          113.22;         112.41;         107.99;         116.26;         110.8;          114.64;         110.6;          108.39;         108.79;         124.47;         116.06;         112.41;         114.23;         109.99;         118.91;         119.53;         110.6;          112.61;         110.4;          115.24;         67.52;          ;               5;              980;            34;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  11.49;
25.01.1706:29:15;       17.27;          118.3;          115.24;         109.99;         112.61;         111.8;          107.39;         115.65;         110.6;          114.23;         110.19;         107.79;         107.99;         124.26;         115.85;         112.21;         113.83;         109.59;         118.5;          119.32;         110.19;         112.61;         110.19;         114.84;         67.52;          ;               5;              980;            34;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  11.35;
25.01.1706:30:16;       18.28;          118.1;          115.04;         109.79;         112.41;         111.8;          107.19;         115.65;         110.8;          114.03;         109.99;         107.99;         107.99;         123.64;         115.65;         112.01;         113.83;         109.39;         118.5;          119.53;         110.19;         112.41;         109.59;         114.43;         66.6;           ;               5;              980;            34;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  11.26;
25.01.1706:31:17;       19.3;           117.89;         115.45;         109.19;         112.21;         111.4;          106.79;         115.24;         110.4;          113.62;         109.79;         107.59;         107.59;         123.64;         115.04;         111.6;          113.42;         108.79;         118.1;          118.91;         109.59;         112.01;         109.59;         114.64;         65.86;          ;               5;              980;            34;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  11.15;
25.01.1706:32:18;       20.32;          117.48;         115.24;         109.19;         112.21;         111.2;          106.99;         114.84;         110.4;          113.42;         109.79;         107.59;         107.59;         123.23;         114.84;         111.4;          113.42;         108.59;         118.1;          118.91;         109.19;         112.01;         109.39;         114.23;         65.68;          ;               5;              980;            34;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  11.06;
25.01.1706:33:19;       21.33;          117.48;         114.84;         108.79;         112.01;         111.2;          106.59;         115.24;         109.99;         113.22;         109.59;         107.39;         107.19;         123.44;         114.84;         111.2;          112.81;         108.39;         118.3;          118.71;         109.39;         111.8;          109.19;         114.03;         64.4;           ;               5;              980;            34;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  10.99;
25.01.1706:34:20;       22.35;          117.48;         115.24;         108.79;         111.8;          111.2;          106.59;         115.24;         109.99;         113.02;         109.59;         107.39;         106.99;         123.23;         114.84;         111.4;          113.02;         108.39;         118.3;          118.91;         109.39;         112.01;         109.39;         113.83;         63.67;          ;               5;              980;            34;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  10.92;
25.01.1706:35:21;       23.37;          116.87;         114.84;         108.39;         112.01;         110.8;          106.19;         114.43;         109.79;         112.41;         109.39;         106.99;         106.39;         123.02;         114.43;         111;            112.61;         107.99;         117.89;         118.3;          108.59;         111.6;          108.99;         113.62;         62.76;          ;               5;              980;            34;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  10.85;
25.01.1706:36:21;       24.37;          116.87;         114.84;         108.39;         111.6;          110.8;          105.79;         114.84;         109.79;         112.41;         109.19;         106.79;         106.59;         122.82;         114.03;         110.8;          112.41;         107.79;         118.1;          118.5;          108.79;         111.4;          108.79;         113.22;         62.03;          ;               5;              980;            34;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  10.79;
25.01.1706:37:22;       25.38;          117.08;         114.43;         108.39;         111.6;          110.19;         105.79;         114.84;         109.79;         112.41;         108.99;         106.79;         106.19;         122.61;         114.03;         111;            112.21;         107.59;         117.69;         118.3;          108.79;         111.4;          108.59;         113.22;         61.12;          ;               5;              980;            34;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  10.76;
25.01.1706:38:23;       26.4;           117.28;         114.84;         108.19;         111.6;          110.19;         105.4;          114.84;         109.79;         112.41;         108.99;         106.59;         106.19;         122.82;         113.83;         110.6;          112.41;         107.59;         117.69;         118.5;          108.59;         111.4;          108.39;         113.22;         60.76;          ;               5;              980;            34;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  10.7;
25.01.1706:39:24;       27.42;          116.87;         114.84;         107.99;         111.4;          110.19;         105.59;         114.84;         109.99;         111.8;          108.99;         106.59;         106.19;         122.61;         113.83;         110.8;          112.21;         107.59;         117.48;         118.5;          108.59;         111.4;          107.99;         113.02;         59.85;          ;               5;              980;            34;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  10.65;
