Date & time of file creation	5/2/2016 5:49 PM													
Data file path	C:\Users\lab\Documents\glass squid 8&9 5-2-16.txt													
														
														
CALIBRATION DATA														
Parameter/Channel	N moving average	LO phase [r.U.]	HI phase [r.U.]	LO oxygen [%air saturation]	HI oxygen [%air saturation]	LO temperature [°C]	HI temperature [°C]	Salinity [‰]						
SDWD0003000119      , CH 1	1	61.42	27.00	0.00	100.00	4.84	4.83	0.000						
SDWD0003000119      , CH 2	1	61.42	27.00	0.00	100.00	15.00	15.00	0.000						
SDWD0003000119      , CH 3	2	61.42	27.00	0.00	100.00	4.87	4.82	34.000						
SDWD0003000119      , CH 4	1	61.42	26.70	0.00	100.00	4.80	4.79	34.000						
														
														
Date &Time [DD-MM-YYYY HH:MM:SS]	Time stamp code	Barometric pressure [hPa]	SDWD0003000119      , CH 1 phase [r.U.]	SDWD0003000119      , CH 1 temp [°C]	SDWD0003000119      , CH 1 O2 [% air saturation]	SDWD0003000119      , CH 2 phase [r.U.]	SDWD0003000119      , CH 2 temp [°C]	SDWD0003000119      , CH 2 O2 [% air saturation]	SDWD0003000119      , CH 3 phase [r.U.]	SDWD0003000119      , CH 3 temp [°C]	SDWD0003000119      , CH 3 O2 [% air saturation]	SDWD0003000119      , CH 4 phase [r.U.]	SDWD0003000119      , CH 4 temp [°C]	SDWD0003000119      , CH 4 O2 [% air saturation]
5/2/2016 6:04:18 PM	3545071458	1013.00	NaN	7.09	NaN	NaN	7.09	NaN	28.65	7.09	82.8	29.17	7.09	76.7
5/2/2016 6:04:19 PM	3545071459	1013.00	NaN	7.09	NaN	NaN	7.09	NaN	28.61	7.09	83.1	29.25	7.09	76.2
5/2/2016 6:04:20 PM	3545071460	1013.00	NaN	7.09	NaN	NaN	7.09	NaN	28.59	7.09	83.3	29.16	7.09	76.8
5/2/2016 6:04:21 PM	3545071461	1013.00	NaN	7.09	NaN	NaN	7.09	NaN	28.61	7.09	83.1	29.27	7.09	76.0
5/2/2016 6:04:22 PM	3545071462	1013.00	NaN	7.09	NaN	NaN	7.09	NaN	28.59	7.09	83.2	29.25	7.09	76.2
5/2/2016 6:04:23 PM	3545071463	1013.00	NaN	7.09	NaN	NaN	7.09	NaN	28.57	7.09	83.4	29.25	7.09	76.2
5/2/2016 6:04:24 PM	3545071464	1013.00	NaN	7.08	NaN	NaN	7.08	NaN	28.56	7.08	83.4	29.24	7.08	76.3
5/2/2016 6:04:25 PM	3545071465	1013.00	NaN	7.09	NaN	NaN	7.09	NaN	28.56	7.09	83.4	29.15	7.09	76.9
5/2/2016 6:04:26 PM	3545071466	1013.00	NaN	7.09	NaN	NaN	7.09	NaN	28.59	7.09	83.2	29.27	7.09	76.0
5/2/2016 6:04:27 PM	3545071467	1013.00	NaN	7.09	NaN	NaN	7.09	NaN	28.55	7.09	83.5	29.23	7.09	76.3
5/2/2016 6:04:28 PM	3545071468	1013.00	NaN	7.09	NaN	NaN	7.09	NaN	28.59	7.09	83.3	29.16	7.09	76.8
5/2/2016 6:04:29 PM	3545071469	1013.00	NaN	7.09	NaN	NaN	7.09	NaN	28.62	7.09	83.0	29.24	7.09	76.2
5/2/2016 6:04:30 PM	3545071470	1013.00	NaN	7.09	NaN	NaN	7.09	NaN	28.60	7.09	83.1	29.23	7.09	76.3
5/2/2016 6:04:31 PM	3545071471	1013.00	NaN	7.08	NaN	NaN	7.08	NaN	28.60	7.08	83.2	29.29	7.08	75.9
5/2/2016 6:04:32 PM	3545071472	1013.00	NaN	7.08	NaN	NaN	7.08	NaN	28.61	7.08	83.1	29.31	7.08	75.8
5/2/2016 6:04:33 PM	3545071473	1013.00	NaN	7.08	NaN	NaN	7.08	NaN	28.61	7.08	83.1	29.31	7.08	75.8
5/2/2016 6:04:34 PM	3545071474	1013.00	NaN	7.08	NaN	NaN	7.08	NaN	28.58	7.08	83.3	29.13	7.08	77.0
5/2/2016 6:04:35 PM	3545071475	1013.00	NaN	7.08	NaN	NaN	7.08	NaN	28.60	7.08	83.2	29.21	7.08	76.5
5/2/2016 6:04:36 PM	3545071476	1013.00	NaN	7.08	NaN	NaN	7.08	NaN	28.58	7.08	83.3	29.16	7.08	76.8
5/2/2016 6:04:37 PM	3545071477	1013.00	NaN	7.08	NaN	NaN	7.08	NaN	28.56	7.08	83.5	29.26	7.08	76.1
5/2/2016 6:04:38 PM	3545071478	1013.00	NaN	7.08	NaN	NaN	7.08	NaN	28.56	7.08	83.4	29.23	7.08	76.3
5/2/2016 6:04:39 PM	3545071479	1013.00	NaN	7.08	NaN	NaN	7.08	NaN	28.61	7.08	83.1	29.23	7.08	76.3
5/2/2016 6:04:40 PM	3545071480	1013.00	NaN	7.08	NaN	NaN	7.08	NaN	28.62	7.08	83.0	29.13	7.08	77.0
5/2/2016 6:04:41 PM	3545071481	1013.00	NaN	7.08	NaN	NaN	7.08	NaN	28.61	7.08	83.1	29.20	7.08	76.5
5/2/2016 6:04:42 PM	3545071482	1013.00	NaN	7.08	NaN	NaN	7.08	NaN	28.63	7.08	82.9	29.23	7.08	76.3
5/2/2016 6:04:43 PM	3545071483	1013.00	NaN	7.08	NaN	NaN	7.08	NaN	28.60	7.08	83.2	29.19	7.08	76.6
5/2/2016 6:04:44 PM	3545071484	1013.00	NaN	7.08	NaN	NaN	7.08	NaN	28.56	7.08	83.5	29.14	7.08	76.9
5/2/2016 6:04:45 PM	3545071485	1013.00	NaN	7.08	NaN	NaN	7.08	NaN	28.57	7.08	83.4	29.25	7.08	76.2
5/2/2016 6:04:46 PM	3545071486	1013.00	NaN	7.08	NaN	NaN	7.08	NaN	28.55	7.08	83.5	29.24	7.08	76.3
5/2/2016 6:04:47 PM	3545071487	1013.00	NaN	7.07	NaN	NaN	7.07	NaN	28.58	7.07	83.3	29.23	7.07	76.3
5/2/2016 6:04:48 PM	3545071488	1013.00	NaN	7.07	NaN	NaN	7.07	NaN	28.56	7.07	83.5	29.24	7.07	76.3
5/2/2016 6:04:49 PM	3545071489	1013.00	NaN	7.07	NaN	NaN	7.07	NaN	28.56	7.07	83.5	29.13	7.07	77.0
5/2/2016 6:04:50 PM	3545071490	1013.00	NaN	7.07	NaN	NaN	7.07	NaN	28.62	7.07	83.0	29.21	7.07	76.5
5/2/2016 6:04:51 PM	3545071491	1013.00	NaN	7.07	NaN	NaN	7.07	NaN	28.60	7.07	83.1	29.20	7.07	76.5
5/2/2016 6:04:52 PM	3545071492	1013.00	NaN	7.07	NaN	NaN	7.07	NaN	28.59	7.07	83.2	29.20	7.07	76.5
5/2/2016 6:04:53 PM	3545071493	1013.00	NaN	7.07	NaN	NaN	7.07	NaN	28.59	7.07	83.2	29.19	7.07	76.6
5/2/2016 6:04:54 PM	3545071494	1013.00	NaN	7.07	NaN	NaN	7.07	NaN	28.63	7.07	82.9	29.23	7.07	76.3
5/2/2016 6:04:55 PM	3545071495	1013.00	NaN	7.08	NaN	NaN	7.08	NaN	28.69	7.08	82.5	29.24	7.08	76.3
5/2/2016 6:04:56 PM	3545071496	1013.00	NaN	7.08	NaN	NaN	7.08	NaN	28.67	7.08	82.6	29.22	7.08	76.4
5/2/2016 6:04:57 PM	3545071497	1013.00	NaN	7.08	NaN	NaN	7.08	NaN	28.64	7.08	82.9	29.28	7.08	76.0
5/2/2016 6:04:58 PM	3545071498	1013.00	NaN	7.08	NaN	NaN	7.08	NaN	28.61	7.08	83.1	29.13	7.08	77.0
5/2/2016 6:04:59 PM	3545071499	1013.00	NaN	7.07	NaN	NaN	7.07	NaN	28.63	7.07	82.9	29.29	7.07	75.9
5/2/2016 6:05:00 PM	3545071500	1013.00	NaN	7.07	NaN	NaN	7.07	NaN	28.63	7.07	82.9	29.13	7.07	77.0
5/2/2016 6:05:01 PM	3545071501	1013.00	NaN	7.07	NaN	NaN	7.07	NaN	28.63	7.07	82.9	29.26	7.07	76.1
5/2/2016 6:05:02 PM	3545071502	1013.00	NaN	7.07	NaN	NaN	7.07	NaN	28.61	7.07	83.1	29.37	7.07	75.4
5/2/2016 6:05:03 PM	3545071503	1013.00	NaN	7.07	NaN	NaN	7.07	NaN	28.56	7.07	83.4	29.13	7.07	77.0
5/2/2016 6:05:04 PM	3545071504	1013.00	NaN	7.07	NaN	NaN	7.07	NaN	28.55	7.07	83.5	29.24	7.07	76.3
5/2/2016 6:05:05 PM	3545071505	1013.00	NaN	7.07	NaN	NaN	7.07	NaN	28.56	7.07	83.4	29.21	7.07	76.5
5/2/2016 6:05:06 PM	3545071506	1013.00	NaN	7.07	NaN	NaN	7.07	NaN	28.64	7.07	82.9	29.28	7.07	76.0
5/2/2016 6:05:07 PM	3545071507	1013.00	NaN	7.07	NaN	NaN	7.07	NaN	28.62	7.07	83.0	29.08	7.07	77.4
5/2/2016 6:05:08 PM	3545071508	1013.00	NaN	7.07	NaN	NaN	7.07	NaN	28.57	7.07	83.4	29.14	7.07	77.0
5/2/2016 6:05:09 PM	3545071509	1013.00	NaN	7.08	NaN	NaN	7.08	NaN	28.64	7.08	82.8	29.25	7.08	76.2
5/2/2016 6:05:10 PM	3545071510	1013.00	NaN	7.07	NaN	NaN	7.07	NaN	28.67	7.07	82.6	29.23	7.07	76.3
5/2/2016 6:05:11 PM	3545071511	1013.00	NaN	7.08	NaN	NaN	7.08	NaN	28.61	7.08	83.1	29.07	7.08	77.4
5/2/2016 6:05:12 PM	3545071512	1013.00	NaN	7.07	NaN	NaN	7.07	NaN	28.57	7.07	83.4	29.24	7.07	76.3
5/2/2016 6:05:13 PM	3545071513	1013.00	NaN	7.07	NaN	NaN	7.07	NaN	28.62	7.07	83.1	29.21	7.07	76.5
5/2/2016 6:05:14 PM	3545071514	1013.00	NaN	7.07	NaN	NaN	7.07	NaN	28.61	7.07	83.1	29.18	7.07	76.7
5/2/2016 6:05:15 PM	3545071515	1013.00	NaN	7.07	NaN	NaN	7.07	NaN	28.62	7.07	83.1	29.23	7.07	76.3
5/2/2016 6:05:16 PM	3545071516	1013.00	NaN	7.07	NaN	NaN	7.07	NaN	28.65	7.07	82.8	29.21	7.07	76.5
5/2/2016 6:05:17 PM	3545071517	1013.00	NaN	7.07	NaN	NaN	7.07	NaN	28.60	7.07	83.2	29.18	7.07	76.7
5/2/2016 6:05:18 PM	3545071518	1013.00	NaN	7.07	NaN	NaN	7.07	NaN	28.55	7.07	83.6	29.12	7.07	77.1
5/2/2016 6:05:19 PM	3545071519	1013.00	NaN	7.07	NaN	NaN	7.07	NaN	28.61	7.07	83.1	29.24	7.07	76.3
5/2/2016 6:05:20 PM	3545071520	1013.00	NaN	7.07	NaN	NaN	7.07	NaN	28.63	7.07	82.9	29.22	7.07	76.4
5/2/2016 6:05:21 PM	3545071521	1013.00	NaN	7.07	NaN	NaN	7.07	NaN	28.57	7.07	83.4	29.27	7.07	76.1
5/2/2016 6:05:22 PM	3545071522	1013.00	NaN	7.07	NaN	NaN	7.07	NaN	28.59	7.07	83.2	29.18	7.07	76.7
5/2/2016 6:05:23 PM	3545071523	1013.00	NaN	7.07	NaN	NaN	7.07	NaN	28.59	7.07	83.3	29.20	7.07	76.5
5/2/2016 6:05:24 PM	3545071524	1013.00	NaN	7.07	NaN	NaN	7.07	NaN	28.59	7.07	83.2	29.29	7.07	75.9
5/2/2016 6:05:25 PM	3545071525	1013.00	NaN	7.07	NaN	NaN	7.07	NaN	28.61	7.07	83.1	29.23	7.07	76.3
5/2/2016 6:05:26 PM	3545071526	1013.00	NaN	7.07	NaN	NaN	7.07	NaN	28.59	7.07	83.2	29.15	7.07	76.9
5/2/2016 6:05:27 PM	3545071527	1013.00	NaN	7.07	NaN	NaN	7.07	NaN	28.64	7.07	82.9	29.17	7.07	76.8
5/2/2016 6:05:28 PM	3545071528	1013.00	NaN	7.06	NaN	NaN	7.06	NaN	28.69	7.06	82.5	29.16	7.06	76.8
5/2/2016 6:05:29 PM	3545071529	1013.00	NaN	7.06	NaN	NaN	7.06	NaN	28.59	7.06	83.2	29.26	7.06	76.1
5/2/2016 6:05:30 PM	3545071530	1013.00	NaN	7.06	NaN	NaN	7.06	NaN	28.59	7.06	83.3	29.15	7.06	76.9
5/2/2016 6:05:31 PM	3545071531	1013.00	NaN	7.06	NaN	NaN	7.06	NaN	28.64	7.06	82.8	29.17	7.06	76.8
5/2/2016 6:05:32 PM	3545071532	1013.00	NaN	7.06	NaN	NaN	7.06	NaN	28.65	7.06	82.8	29.20	7.06	76.6
5/2/2016 6:05:33 PM	3545071533	1013.00	NaN	7.06	NaN	NaN	7.06	NaN	28.66	7.06	82.8	29.15	7.06	76.9
5/2/2016 6:05:34 PM	3545071534	1013.00	NaN	7.06	NaN	NaN	7.06	NaN	28.65	7.06	82.8	29.23	7.06	76.3
5/2/2016 6:05:35 PM	3545071535	1013.00	NaN	7.07	NaN	NaN	7.07	NaN	28.63	7.07	82.9	29.29	7.07	75.9
5/2/2016 6:05:36 PM	3545071536	1013.00	NaN	7.07	NaN	NaN	7.07	NaN	28.62	7.07	83.0	29.24	7.07	76.3
5/2/2016 6:05:37 PM	3545071537	1013.00	NaN	7.07	NaN	NaN	7.07	NaN	28.63	7.07	82.9	29.22	7.07	76.4
5/2/2016 6:05:38 PM	3545071538	1013.00	NaN	7.06	NaN	NaN	7.06	NaN	28.66	7.06	82.7	29.25	7.06	76.2
5/2/2016 6:05:39 PM	3545071539	1013.00	NaN	7.06	NaN	NaN	7.06	NaN	28.69	7.06	82.5	29.31	7.06	75.8
5/2/2016 6:05:40 PM	3545071540	1013.00	NaN	7.06	NaN	NaN	7.06	NaN	28.67	7.06	82.7	29.35	7.06	75.5
5/2/2016 6:05:41 PM	3545071541	1013.00	NaN	7.05	NaN	NaN	7.05	NaN	28.64	7.05	82.9	29.25	7.05	76.2
5/2/2016 6:05:42 PM	3545071542	1013.00	NaN	7.05	NaN	NaN	7.05	NaN	28.65	7.05	82.8	29.25	7.05	76.2
5/2/2016 6:05:43 PM	3545071543	1013.00	NaN	7.05	NaN	NaN	7.05	NaN	28.66	7.05	82.7	29.24	7.05	76.3
5/2/2016 6:05:44 PM	3545071544	1013.00	NaN	7.05	NaN	NaN	7.05	NaN	28.65	7.05	82.8	29.33	7.05	75.7
5/2/2016 6:05:45 PM	3545071545	1013.00	NaN	7.05	NaN	NaN	7.05	NaN	28.66	7.05	82.7	29.21	7.05	76.5
5/2/2016 6:05:46 PM	3545071546	1013.00	NaN	7.06	NaN	NaN	7.06	NaN	28.64	7.06	82.9	29.17	7.06	76.8
5/2/2016 6:05:47 PM	3545071547	1013.00	NaN	7.06	NaN	NaN	7.06	NaN	28.64	7.06	82.9	29.23	7.06	76.3
5/2/2016 6:05:48 PM	3545071548	1013.00	NaN	7.06	NaN	NaN	7.06	NaN	28.66	7.06	82.7	29.37	7.06	75.4
5/2/2016 6:05:49 PM	3545071549	1013.00	NaN	7.06	NaN	NaN	7.06	NaN	28.64	7.06	82.9	29.37	7.06	75.4
5/2/2016 6:05:50 PM	3545071550	1013.00	NaN	7.07	NaN	NaN	7.07	NaN	28.63	7.07	82.9	29.26	7.07	76.1
5/2/2016 6:05:51 PM	3545071551	1013.00	NaN	7.07	NaN	NaN	7.07	NaN	28.62	7.07	83.0	29.30	7.07	75.9
5/2/2016 6:05:52 PM	3545071552	1013.00	NaN	7.07	NaN	NaN	7.07	NaN	28.66	7.07	82.7	29.31	7.07	75.8
5/2/2016 6:05:53 PM	3545071553	1013.00	NaN	7.06	NaN	NaN	7.06	NaN	28.64	7.06	82.9	29.26	7.06	76.1
5/2/2016 6:05:54 PM	3545071554	1013.00	NaN	7.07	NaN	NaN	7.07	NaN	28.63	7.07	82.9	29.26	7.07	76.1
5/2/2016 6:05:55 PM	3545071555	1013.00	NaN	7.07	NaN	NaN	7.07	NaN	28.65	7.07	82.8	29.13	7.07	77.0
5/2/2016 6:05:56 PM	3545071556	1013.00	NaN	7.07	NaN	NaN	7.07	NaN	28.62	7.07	83.0	29.22	7.07	76.4
5/2/2016 6:05:57 PM	3545071557	1013.00	NaN	7.07	NaN	NaN	7.07	NaN	28.61	7.07	83.1	29.20	7.07	76.5
5/2/2016 6:05:58 PM	3545071558	1013.00	NaN	7.08	NaN	NaN	7.08	NaN	28.52	7.08	83.7	29.33	7.08	75.6
5/2/2016 6:05:59 PM	3545071559	1013.00	NaN	7.08	NaN	NaN	7.08	NaN	28.54	7.08	83.7	29.19	7.08	76.6
5/2/2016 6:06:00 PM	3545071560	1013.00	NaN	7.08	NaN	NaN	7.08	NaN	28.56	7.08	83.5	29.29	7.08	75.9
5/2/2016 6:06:01 PM	3545071561	1013.00	NaN	7.08	NaN	NaN	7.08	NaN	28.59	7.08	83.2	29.23	7.08	76.3
5/2/2016 6:06:02 PM	3545071562	1013.00	NaN	7.08	NaN	NaN	7.08	NaN	28.62	7.08	83.0	29.15	7.08	76.9
5/2/2016 6:06:03 PM	3545071563	1013.00	NaN	7.08	NaN	NaN	7.08	NaN	28.60	7.08	83.2	29.25	7.08	76.2
5/2/2016 6:06:04 PM	3545071564	1013.00	NaN	7.08	NaN	NaN	7.08	NaN	28.67	7.08	82.6	29.31	7.08	75.8
5/2/2016 6:06:05 PM	3545071565	1013.00	NaN	7.08	NaN	NaN	7.08	NaN	28.70	7.08	82.4	29.35	7.08	75.5
5/2/2016 6:06:06 PM	3545071566	1013.00	NaN	7.08	NaN	NaN	7.08	NaN	28.68	7.08	82.6	29.32	7.08	75.7
5/2/2016 6:06:07 PM	3545071567	1013.00	NaN	7.07	NaN	NaN	7.07	NaN	28.63	7.07	82.9	29.29	7.07	75.9
5/2/2016 6:06:08 PM	3545071568	1013.00	NaN	7.08	NaN	NaN	7.08	NaN	28.57	7.08	83.4	29.21	7.08	76.5
5/2/2016 6:06:09 PM	3545071569	1013.00	NaN	7.08	NaN	NaN	7.08	NaN	28.56	7.08	83.5	29.31	7.08	75.8
5/2/2016 6:06:10 PM	3545071570	1013.00	NaN	7.08	NaN	NaN	7.08	NaN	28.65	7.08	82.8	29.34	7.08	75.6
5/2/2016 6:06:11 PM	3545071571	1013.00	NaN	7.08	NaN	NaN	7.08	NaN	28.69	7.08	82.5	29.33	7.08	75.6
5/2/2016 6:06:12 PM	3545071572	1013.00	NaN	7.07	NaN	NaN	7.07	NaN	28.62	7.07	83.0	29.26	7.07	76.1
5/2/2016 6:06:13 PM	3545071573	1013.00	NaN	7.07	NaN	NaN	7.07	NaN	28.62	7.07	83.0	29.18	7.07	76.7
5/2/2016 6:06:14 PM	3545071574	1013.00	NaN	7.07	NaN	NaN	7.07	NaN	28.67	7.07	82.6	29.30	7.07	75.9
5/2/2016 6:06:15 PM	3545071575	1013.00	NaN	7.07	NaN	NaN	7.07	NaN	28.64	7.07	82.8	29.26	7.07	76.1
5/2/2016 6:06:16 PM	3545071576	1013.00	NaN	7.07	NaN	NaN	7.07	NaN	28.66	7.07	82.8	29.33	7.07	75.7
5/2/2016 6:06:17 PM	3545071577	1013.00	NaN	7.07	NaN	NaN	7.07	NaN	28.56	7.07	83.5	29.29	7.07	75.9
5/2/2016 6:06:18 PM	3545071578	1013.00	NaN	7.07	NaN	NaN	7.07	NaN	28.55	7.07	83.5	29.24	7.07	76.3
5/2/2016 6:06:19 PM	3545071579	1013.00	NaN	7.07	NaN	NaN	7.07	NaN	28.62	7.07	83.1	29.32	7.07	75.7
5/2/2016 6:06:20 PM	3545071580	1013.00	NaN	7.07	NaN	NaN	7.07	NaN	28.61	7.07	83.1	29.29	7.07	75.9
5/2/2016 6:06:21 PM	3545071581	1013.00	NaN	7.07	NaN	NaN	7.07	NaN	28.67	7.07	82.6	29.28	7.07	76.0
5/2/2016 6:06:22 PM	3545071582	1013.00	NaN	7.07	NaN	NaN	7.07	NaN	28.73	7.07	82.2	29.28	7.07	76.0
5/2/2016 6:06:23 PM	3545071583	1013.00	NaN	7.07	NaN	NaN	7.07	NaN	28.66	7.07	82.7	29.25	7.07	76.2
5/2/2016 6:06:24 PM	3545071584	1013.00	NaN	7.08	NaN	NaN	7.08	NaN	28.62	7.08	83.0	29.20	7.08	76.5
5/2/2016 6:06:25 PM	3545071585	1013.00	NaN	7.08	NaN	NaN	7.08	NaN	28.67	7.08	82.6	29.37	7.08	75.4
5/2/2016 6:06:26 PM	3545071586	1013.00	NaN	7.08	NaN	NaN	7.08	NaN	28.66	7.08	82.7	29.23	7.08	76.3
5/2/2016 6:06:27 PM	3545071587	1013.00	NaN	7.08	NaN	NaN	7.08	NaN	28.62	7.08	83.0	29.28	7.08	76.0
5/2/2016 6:06:28 PM	3545071588	1013.00	NaN	7.08	NaN	NaN	7.08	NaN	28.59	7.08	83.3	29.33	7.08	75.6
5/2/2016 6:06:29 PM	3545071589	1013.00	NaN	7.08	NaN	NaN	7.08	NaN	28.67	7.08	82.6	29.13	7.08	77.0
5/2/2016 6:06:30 PM	3545071590	1013.00	NaN	7.08	NaN	NaN	7.08	NaN	28.71	7.08	82.3	29.36	7.08	75.4
5/2/2016 6:06:31 PM	3545071591	1013.00	NaN	7.07	NaN	NaN	7.07	NaN	28.64	7.07	82.9	29.39	7.07	75.2
5/2/2016 6:06:32 PM	3545071592	1013.00	NaN	7.07	NaN	NaN	7.07	NaN	28.62	7.07	83.0	29.29	7.07	75.9
5/2/2016 6:06:33 PM	3545071593	1013.00	NaN	7.07	NaN	NaN	7.07	NaN	28.61	7.07	83.1	29.32	7.07	75.7
5/2/2016 6:06:34 PM	3545071594	1013.00	NaN	7.07	NaN	NaN	7.07	NaN	28.65	7.07	82.8	29.19	7.07	76.6
5/2/2016 6:06:35 PM	3545071595	1013.00	NaN	7.07	NaN	NaN	7.07	NaN	28.69	7.07	82.5	29.23	7.07	76.3
5/2/2016 6:06:36 PM	3545071596	1013.00	NaN	7.07	NaN	NaN	7.07	NaN	28.65	7.07	82.8	29.29	7.07	75.9
5/2/2016 6:06:37 PM	3545071597	1013.00	NaN	7.07	NaN	NaN	7.07	NaN	28.62	7.07	83.0	29.24	7.07	76.3
5/2/2016 6:06:38 PM	3545071598	1013.00	NaN	7.07	NaN	NaN	7.07	NaN	28.63	7.07	82.9	29.21	7.07	76.5
5/2/2016 6:06:39 PM	3545071599	1013.00	NaN	7.07	NaN	NaN	7.07	NaN	28.64	7.07	82.9	29.13	7.07	77.0
5/2/2016 6:06:40 PM	3545071600	1013.00	NaN	7.07	NaN	NaN	7.07	NaN	28.64	7.07	82.8	29.15	7.07	76.9
5/2/2016 6:06:41 PM	3545071601	1013.00	NaN	7.07	NaN	NaN	7.07	NaN	28.69	7.07	82.5	29.31	7.07	75.8
5/2/2016 6:06:42 PM	3545071602	1013.00	NaN	7.07	NaN	NaN	7.07	NaN	28.71	7.07	82.3	29.21	7.07	76.5
5/2/2016 6:06:43 PM	3545071603	1013.00	NaN	7.07	NaN	NaN	7.07	NaN	28.68	7.07	82.6	29.42	7.07	75.0
5/2/2016 6:06:44 PM	3545071604	1013.00	NaN	7.07	NaN	NaN	7.07	NaN	28.63	7.07	82.9	29.32	7.07	75.7
5/2/2016 6:06:45 PM	3545071605	1013.00	NaN	7.07	NaN	NaN	7.07	NaN	28.61	7.07	83.1	29.29	7.07	75.9
5/2/2016 6:06:46 PM	3545071606	1013.00	NaN	7.07	NaN	NaN	7.07	NaN	28.66	7.07	82.8	29.20	7.07	76.5
5/2/2016 6:06:47 PM	3545071607	1013.00	NaN	7.07	NaN	NaN	7.07	NaN	28.71	7.07	82.3	29.27	7.07	76.1
5/2/2016 6:06:48 PM	3545071608	1013.00	NaN	7.07	NaN	NaN	7.07	NaN	28.73	7.07	82.1	29.30	7.07	75.9
5/2/2016 6:06:49 PM	3545071609	1013.00	NaN	7.07	NaN	NaN	7.07	NaN	28.70	7.07	82.4	29.30	7.07	75.9
5/2/2016 6:06:50 PM	3545071610	1013.00	NaN	7.07	NaN	NaN	7.07	NaN	28.62	7.07	83.0	29.35	7.07	75.5
5/2/2016 6:06:51 PM	3545071611	1013.00	NaN	7.07	NaN	NaN	7.07	NaN	28.65	7.07	82.8	29.18	7.07	76.7
5/2/2016 6:06:52 PM	3545071612	1013.00	NaN	7.07	NaN	NaN	7.07	NaN	28.66	7.07	82.7	29.21	7.07	76.5
5/2/2016 6:06:53 PM	3545071613	1013.00	NaN	7.07	NaN	NaN	7.07	NaN	28.68	7.07	82.5	29.27	7.07	76.1
5/2/2016 6:06:54 PM	3545071614	1013.00	NaN	7.07	NaN	NaN	7.07	NaN	28.71	7.07	82.3	29.26	7.07	76.1
5/2/2016 6:06:55 PM	3545071615	1013.00	NaN	7.07	NaN	NaN	7.07	NaN	28.70	7.07	82.4	29.32	7.07	75.7
5/2/2016 6:06:56 PM	3545071616	1013.00	NaN	7.07	NaN	NaN	7.07	NaN	28.71	7.07	82.3	29.27	7.07	76.1
5/2/2016 6:06:57 PM	3545071617	1013.00	NaN	7.07	NaN	NaN	7.07	NaN	28.66	7.07	82.7	29.23	7.07	76.3
5/2/2016 6:06:58 PM	3545071618	1013.00	NaN	7.07	NaN	NaN	7.07	NaN	28.59	7.07	83.2	29.36	7.07	75.4
5/2/2016 6:06:59 PM	3545071619	1013.00	NaN	7.07	NaN	NaN	7.07	NaN	28.63	7.07	82.9	29.33	7.07	75.7
5/2/2016 6:07:00 PM	3545071620	1013.00	NaN	7.07	NaN	NaN	7.07	NaN	28.70	7.07	82.4	29.24	7.07	76.3
5/2/2016 6:07:01 PM	3545071621	1013.00	NaN	7.07	NaN	NaN	7.07	NaN	28.71	7.07	82.3	29.26	7.07	76.1
5/2/2016 6:07:02 PM	3545071622	1013.00	NaN	7.07	NaN	NaN	7.07	NaN	28.73	7.07	82.1	29.14	7.07	77.0
5/2/2016 6:07:03 PM	3545071623	1013.00	NaN	7.06	NaN	NaN	7.06	NaN	28.70	7.06	82.5	29.28	7.06	76.0
5/2/2016 6:07:04 PM	3545071624	1013.00	NaN	7.07	NaN	NaN	7.07	NaN	28.64	7.07	82.9	29.30	7.07	75.9
5/2/2016 6:07:05 PM	3545071625	1013.00	NaN	7.06	NaN	NaN	7.06	NaN	28.63	7.06	83.0	29.29	7.06	75.9
5/2/2016 6:07:06 PM	3545071626	1013.00	NaN	7.06	NaN	NaN	7.06	NaN	28.58	7.06	83.3	29.35	7.06	75.5
5/2/2016 6:07:07 PM	3545071627	1013.00	NaN	7.06	NaN	NaN	7.06	NaN	28.61	7.06	83.1	29.25	7.06	76.2
5/2/2016 6:07:08 PM	3545071628	1013.00	NaN	7.07	NaN	NaN	7.07	NaN	28.73	7.07	82.2	29.32	7.07	75.7
5/2/2016 6:07:09 PM	3545071629	1013.00	NaN	7.07	NaN	NaN	7.07	NaN	28.73	7.07	82.2	29.23	7.07	76.3
5/2/2016 6:07:10 PM	3545071630	1013.00	NaN	7.07	NaN	NaN	7.07	NaN	28.70	7.07	82.4	29.23	7.07	76.3
5/2/2016 6:07:11 PM	3545071631	1013.00	NaN	7.07	NaN	NaN	7.07	NaN	28.74	7.07	82.1	29.31	7.07	75.8
5/2/2016 6:07:12 PM	3545071632	1013.00	NaN	7.07	NaN	NaN	7.07	NaN	28.70	7.07	82.4	29.35	7.07	75.5
5/2/2016 6:07:13 PM	3545071633	1013.00	NaN	7.07	NaN	NaN	7.07	NaN	28.66	7.07	82.7	29.25	7.07	76.2
5/2/2016 6:07:14 PM	3545071634	1013.00	NaN	7.07	NaN	NaN	7.07	NaN	28.66	7.07	82.7	29.25	7.07	76.2
5/2/2016 6:07:15 PM	3545071635	1013.00	NaN	7.07	NaN	NaN	7.07	NaN	28.64	7.07	82.9	29.28	7.07	76.0
5/2/2016 6:07:16 PM	3545071636	1013.00	NaN	7.07	NaN	NaN	7.07	NaN	28.69	7.07	82.5	29.31	7.07	75.8
